index,rain,temp,,,,,,,
6/1/2022 15:20,6.5,62.5,,,,,,,
6/1/2022 15:25,6.5,62.42,,,,,,,
6/1/2022 15:30,6.5,63,,,,,,,
6/1/2022 15:35,5.9,61.72,,,,,,,
6/1/2022 15:40,6.5,61.22,,,,,,,
6/1/2022 15:45,6.5,61.92,,,,,,,
6/1/2022 15:50,6.5,62.73,,,,,,,
6/1/2022 15:55,6.5,63.08,,,,,,,
6/1/2022 16:00,6.5,62.61,,,,,,,
6/1/2022 16:05,6.5,62.61,,,,,,,
6/1/2022 16:10,6.5,63.04,,,,,,,
6/1/2022 16:15,6.5,63,,,,,,,
6/1/2022 16:20,6.5,63.11,,,,,,,
6/1/2022 16:25,6.5,62.3,,,,,,,
6/1/2022 16:30,6.5,61.92,,,,,,,
6/1/2022 16:35,6.5,62.92,,,,,,,
6/1/2022 16:40,6.5,63.27,,,,,,,
6/1/2022 16:45,6.5,63.15,,,,,,,
6/1/2022 16:50,6.5,63,,,,,,,
6/1/2022 16:55,6.5,63.19,,,,,,,
6/1/2022 17:00,6.5,62.88,,,,,,,
6/1/2022 17:05,6.5,62.3,,,,,,,
6/1/2022 17:10,8.8,62.07,,,,,,,
6/1/2022 17:15,14.1,62.34,,,,,,,
6/1/2022 17:20,11.2,62.65,,,,,,,
6/1/2022 17:25,27.6,62.57,,,,,,,
6/1/2022 17:30,7.6,62.15,,,,,,,
6/1/2022 17:35,7.6,62.27,,,,,,,
6/1/2022 17:40,11.8,62.19,,,,,,,
6/1/2022 17:45,78.8,61.88,,,,,,,
6/1/2022 17:50,11.8,61.92,,,,,,,
6/1/2022 17:55,15.9,62.5,,,,,,,
6/1/2022 18:00,15.9,62.54,,,,,,,
6/1/2022 18:05,5,62.81,,,,,,,
6/1/2022 18:10,5,62.73,,,,,,,
6/1/2022 18:15,5,63,,,,,,,
6/1/2022 18:20,5,63.11,,,,,,,
6/1/2022 18:25,5,63.66,,,,,,,
6/1/2022 18:30,5,63.58,,,,,,,
6/1/2022 18:35,5,63.35,,,,,,,
6/1/2022 18:40,5,63.46,,,,,,,
6/1/2022 18:45,73.5,64.43,,,,,,,
6/1/2022 18:50,68.2,62.96,,,,,,,
6/1/2022 18:55,9.4,62.3,,,,,,,
6/1/2022 19:00,8.2,62.42,,,,,,,
6/1/2022 19:05,7.6,63.08,,,,,,,
6/1/2022 19:10,7.6,63.08,,,,,,,
6/1/2022 19:15,7.6,63.58,,,,,,,
6/1/2022 19:20,7.1,63.69,,,,,,,
6/1/2022 19:25,7.6,63.11,,,,,,,
6/1/2022 19:30,7.1,63.58,,,,,,,
6/1/2022 19:35,7.1,63.31,,,,,,,
6/1/2022 19:40,7.1,63.23,,,,,,,
6/1/2022 19:45,7.1,62.81,,,,,,,
6/1/2022 19:50,7.1,62.61,,,,,,,
6/1/2022 19:55,7.1,62.54,,,,,,,
6/1/2022 20:00,7.1,62.34,,,,,,,
6/1/2022 20:05,7.1,62.46,,,,,,,
6/1/2022 20:10,7.1,62.5,,,,,,,
6/1/2022 20:15,7.1,62.77,,,,,,,
6/1/2022 20:20,7.1,62.77,,,,,,,
6/1/2022 20:25,7.1,62.73,,,,,,,
6/1/2022 20:30,6.5,62.5,,,,,,,
6/1/2022 20:35,7.1,62.84,,,,,,,
6/1/2022 20:40,7.1,62.3,,,,,,,
6/1/2022 20:45,7.1,62.23,,,,,,,
6/1/2022 20:50,6.5,62.42,,,,,,,
6/1/2022 20:55,7.1,63.04,,,,,,,
6/1/2022 21:00,7.1,63.81,,,,,,,
6/1/2022 21:05,6.5,63.69,,,,,,,
6/1/2022 21:10,6.5,63.42,,,,,,,
6/1/2022 21:15,6.5,62.57,,,,,,,
6/1/2022 21:20,6.5,62.03,,,,,,,
6/1/2022 21:25,6.5,61.76,,,,,,,
6/1/2022 21:30,6.5,61.76,,,,,,,
6/1/2022 21:35,6.5,61.61,,,,,,,
6/1/2022 21:40,6.5,61.65,,,,,,,
6/1/2022 21:45,6.5,61.53,,,,,,,
6/1/2022 21:50,6.5,61.49,,,,,,,
6/1/2022 21:55,6.5,61.42,,,,,,,
6/1/2022 22:00,6.5,61.3,,,,,,,
6/1/2022 22:05,6.5,61.15,,,,,,,
6/1/2022 22:10,6.5,60.84,,,,,,,
6/1/2022 22:15,6.5,60.76,,,,,,,
6/1/2022 22:20,6.5,60.61,,,,,,,
6/1/2022 22:25,6.5,60.41,,,,,,,
6/1/2022 22:30,6.5,60.34,,,,,,,
6/1/2022 22:35,6.5,60.22,,,,,,,
6/1/2022 22:40,6.5,60.14,,,,,,,
6/1/2022 22:45,6.5,60.14,,,,,,,
6/1/2022 22:50,6.5,59.99,,,,,,,
6/1/2022 22:55,6.5,59.83,,,,,,,
6/1/2022 23:00,6.5,59.79,,,,,,,
6/1/2022 23:05,6.5,59.76,,,,,,,
6/1/2022 23:10,6.5,59.56,,,,,,,
6/1/2022 23:15,6.5,59.49,,,,,,,
6/1/2022 23:20,6.5,59.41,,,,,,,
6/1/2022 23:25,6.5,59.22,,,,,,,
6/1/2022 23:30,6.5,59.22,,,,,,,
6/1/2022 23:35,6.5,59.18,,,,,,,
6/1/2022 23:40,6.5,59.22,,,,,,,
6/1/2022 23:45,11.8,59.06,,,,,,,
6/1/2022 23:50,10.6,59.02,,,,,,,
6/1/2022 23:55,7.1,58.95,,,,,,,
6/2/2022 0:00,7.1,58.87,,,,,,,
6/2/2022 0:05,7.1,58.6,,,,,,,
6/2/2022 0:10,6.5,58.48,,,,,,,
6/2/2022 0:15,7.1,58.37,,,,,,,
6/2/2022 0:20,7.1,58.48,,,,,,,
6/2/2022 0:25,6.5,58.37,,,,,,,
6/2/2022 0:30,6.5,58.37,,,,,,,
6/2/2022 0:35,6.5,58.33,,,,,,,
6/2/2022 0:40,6.5,58.29,,,,,,,
6/2/2022 0:45,6.5,58.25,,,,,,,
6/2/2022 0:50,6.5,58.13,,,,,,,
6/2/2022 0:55,6.5,58.02,,,,,,,
6/2/2022 1:00,6.5,57.86,,,,,,,
6/2/2022 1:05,6.5,57.71,,,,,,,
6/2/2022 1:10,6.5,57.63,,,,,,,
6/2/2022 1:15,6.5,57.56,,,,,,,
6/2/2022 1:20,6.5,57.44,,,,,,,
6/2/2022 1:25,6.5,57.13,,,,,,,
6/2/2022 1:30,6.5,57.01,,,,,,,
6/2/2022 1:35,6.5,57.01,,,,,,,
6/2/2022 1:40,9.4,56.9,,,,,,,
6/2/2022 1:45,37.6,56.67,,,,,,,
6/2/2022 1:50,15.9,56.28,,,,,,,
6/2/2022 1:55,10,55.86,,,,,,,
6/2/2022 2:00,75.3,55.55,,,,,,,
6/2/2022 2:05,20,55.16,,,,,,,
6/2/2022 2:10,7.6,54.89,,,,,,,
6/2/2022 2:15,7.1,54.7,,,,,,,
6/2/2022 2:20,9.4,54.62,,,,,,,
6/2/2022 2:25,15.3,54.47,,,,,,,
6/2/2022 2:30,7.6,54.23,,,,,,,
6/2/2022 2:35,7.6,53.96,,,,,,,
6/2/2022 2:40,14.7,53.85,,,,,,,
6/2/2022 2:45,80.6,53.77,,,,,,,
6/2/2022 2:50,35.9,53.69,,,,,,,
6/2/2022 2:55,8.2,53.62,,,,,,,
6/2/2022 3:00,8.2,53.42,,,,,,,
6/2/2022 3:05,8.2,53.31,,,,,,,
6/2/2022 3:10,8.2,53.27,,,,,,,
6/2/2022 3:15,8.2,53.15,,,,,,,
6/2/2022 3:20,8.2,53.11,,,,,,,
6/2/2022 3:25,8.8,53,,,,,,,
6/2/2022 3:30,8.8,52.92,,,,,,,
6/2/2022 3:35,8.8,52.92,,,,,,,
6/2/2022 3:40,8.8,52.92,,,,,,,
6/2/2022 3:45,8.8,53,,,,,,,
6/2/2022 3:50,9.4,53.04,,,,,,,
6/2/2022 3:55,9.4,53,,,,,,,
6/2/2022 4:00,9.4,53.04,,,,,,,
6/2/2022 4:05,9.4,53,,,,,,,
6/2/2022 4:10,9.4,52.96,,,,,,,
6/2/2022 4:15,9.4,53,,,,,,,
6/2/2022 4:20,9.4,52.88,,,,,,,
6/2/2022 4:25,10,53,,,,,,,
6/2/2022 4:30,10,53,,,,,,,
6/2/2022 4:35,10,52.96,,,,,,,
6/2/2022 4:40,10,53,,,,,,,
6/2/2022 4:45,52.9,53.11,,,,,,,
6/2/2022 4:50,5,53.04,,,,,,,
6/2/2022 4:55,5,53.08,,,,,,,
6/2/2022 5:00,95.3,53.11,,,,,,,
6/2/2022 5:05,91,53.08,,,,,,,
6/2/2022 5:10,93,53.19,,,,,,,
6/2/2022 5:15,100,53.08,,,,,,,
6/2/2022 5:20,100,53.15,,,,,,,
6/2/2022 5:25,100,53.19,,,,,,,
6/2/2022 5:30,100,53.15,,,,,,,
6/2/2022 5:35,100,53.23,,,,,,,
6/2/2022 5:40,100,53.19,,,,,,,
6/2/2022 5:45,100,53.31,,,,,,,
6/2/2022 5:50,100,53.27,,,,,,,
6/2/2022 5:55,100,53.23,,,,,,,
6/2/2022 6:00,98,53.15,,,,,,,
6/2/2022 6:05,38.2,53.23,,,,,,,
6/2/2022 6:10,37.1,53.39,,,,,,,
6/2/2022 6:15,40.6,53.46,,,,,,,
6/2/2022 6:20,41.8,53.5,,,,,,,
6/2/2022 6:25,41.2,53.54,,,,,,,
6/2/2022 6:30,44.1,53.62,,,,,,,
6/2/2022 6:35,44.7,53.73,,,,,,,
6/2/2022 6:40,50.6,53.85,,,,,,,
6/2/2022 6:45,60.6,53.89,,,,,,,
6/2/2022 6:50,61.8,53.89,,,,,,,
6/2/2022 6:55,61.8,53.89,,,,,,,
6/2/2022 7:00,61.8,53.89,,,,,,,
6/2/2022 7:05,63.5,53.96,,,,,,,
6/2/2022 7:10,67.6,53.93,,,,,,,
6/2/2022 7:15,68.2,53.89,,,,,,,
6/2/2022 7:20,70,54.04,,,,,,,
6/2/2022 7:25,69.4,54,,,,,,,
6/2/2022 7:30,68.2,54.04,,,,,,,
6/2/2022 7:35,67.6,54.08,,,,,,,
6/2/2022 7:40,70,54.12,,,,,,,
6/2/2022 7:45,70,54.12,,,,,,,
6/2/2022 7:50,71.8,54.16,,,,,,,
6/2/2022 7:55,70.6,54.12,,,,,,,
6/2/2022 8:00,73.5,54.16,,,,,,,
6/2/2022 8:05,74.1,54.16,,,,,,,
6/2/2022 8:10,75.9,54.23,,,,,,,
6/2/2022 8:15,98,54.23,,,,,,,
6/2/2022 8:20,100,54.23,,,,,,,
6/2/2022 8:25,100,54.43,,,,,,,
6/2/2022 8:30,100,54.5,,,,,,,
6/2/2022 8:35,100,54.43,,,,,,,
6/2/2022 8:40,100,54.54,,,,,,,
6/2/2022 8:45,100,54.58,,,,,,,
6/2/2022 8:50,100,54.58,,,,,,,
6/2/2022 8:55,100,54.62,,,,,,,
6/2/2022 9:00,100,54.62,,,,,,,
6/2/2022 9:05,100,54.62,,,,,,,
6/2/2022 9:10,100,54.58,,,,,,,
6/2/2022 9:15,100,54.54,,,,,,,
6/2/2022 9:20,100,54.5,,,,,,,
6/2/2022 9:25,100,54.62,,,,,,,
6/2/2022 9:30,100,54.62,,,,,,,
6/2/2022 9:35,100,54.62,,,,,,,
6/2/2022 9:40,100,54.7,,,,,,,
6/2/2022 9:45,100,54.66,,,,,,,
6/2/2022 9:50,100,54.74,,,,,,,
6/2/2022 9:55,100,54.81,,,,,,,
6/2/2022 10:00,100,54.93,,,,,,,
6/2/2022 10:05,100,54.93,,,,,,,
6/2/2022 10:10,100,54.97,,,,,,,
6/2/2022 10:15,100,55.01,,,,,,,
6/2/2022 10:20,100,55.16,,,,,,,
6/2/2022 10:25,100,55.39,,,,,,,
6/2/2022 10:30,100,55.51,,,,,,,
6/2/2022 10:35,100,55.62,,,,,,,
6/2/2022 10:40,100,55.82,,,,,,,
6/2/2022 10:45,100,55.51,,,,,,,
6/2/2022 10:50,100,55.59,,,,,,,
6/2/2022 10:55,94.1,56.01,,,,,,,
6/2/2022 11:00,97,56.24,,,,,,,
6/2/2022 11:05,27.6,56.4,,,,,,,
6/2/2022 11:10,52.4,56.32,,,,,,,
6/2/2022 11:15,22.4,56.47,,,,,,,
6/2/2022 11:20,28.8,56.44,,,,,,,
6/2/2022 11:25,30,56.36,,,,,,,
6/2/2022 11:30,31.8,56.71,,,,,,,
6/2/2022 11:35,49.4,56.55,,,,,,,
6/2/2022 11:40,52.4,56.63,,,,,,,
6/2/2022 11:45,100,56.32,,,,,,,
6/2/2022 11:50,77.6,56.36,,,,,,,
6/2/2022 11:55,40.6,56.67,,,,,,,
6/2/2022 12:00,16.5,57.59,,,,,,,
6/2/2022 12:05,13.5,57.83,,,,,,,
6/2/2022 12:10,12.9,57.52,,,,,,,
6/2/2022 12:15,12.4,58.25,,,,,,,
6/2/2022 12:20,11.8,58.25,,,,,,,
6/2/2022 12:25,11.2,58.37,,,,,,,
6/2/2022 12:30,11.2,58.48,,,,,,,
6/2/2022 12:35,11.2,58.25,,,,,,,
6/2/2022 12:40,11.2,58.17,,,,,,,
6/2/2022 12:45,11.2,58.64,,,,,,,
6/2/2022 12:50,10.6,58.91,,,,,,,
6/2/2022 12:55,10.6,58.75,,,,,,,
6/2/2022 13:00,11.2,58.52,,,,,,,
6/2/2022 13:05,11.2,58.56,,,,,,,
6/2/2022 13:10,10.6,59.18,,,,,,,
6/2/2022 13:15,10,59.56,,,,,,,
6/2/2022 13:20,10,59.83,,,,,,,
6/2/2022 13:25,10.6,59.56,,,,,,,
6/2/2022 13:30,10.6,59.64,,,,,,,
6/2/2022 13:35,10.6,59.56,,,,,,,
6/2/2022 13:40,10,60.14,,,,,,,
6/2/2022 13:45,9.4,60.41,,,,,,,
6/2/2022 13:50,8.8,61.3,,,,,,,
6/2/2022 13:55,8.8,61.72,,,,,,,
6/2/2022 14:00,8.8,61.26,,,,,,,
6/2/2022 14:05,8.2,61.96,,,,,,,
6/2/2022 14:10,8.8,62.23,,,,,,,
6/2/2022 14:15,8.2,62.77,,,,,,,
6/2/2022 14:20,8.2,63.5,,,,,,,
6/2/2022 14:25,8.8,62.11,,,,,,,
6/2/2022 14:30,8.8,61.8,,,,,,,
6/2/2022 14:35,8.2,63.39,,,,,,,
6/2/2022 14:40,7.6,64.04,,,,,,,
6/2/2022 14:45,7.6,64.39,,,,,,,
6/2/2022 14:50,7.6,64.47,,,,,,,
6/2/2022 14:55,7.6,65.32,,,,,,,
6/2/2022 15:00,7.6,66.51,,,,,,,
6/2/2022 15:05,7.6,67.52,,,,,,,
6/2/2022 15:10,7.6,68.17,,,,,,,
6/2/2022 15:15,7.6,67.56,,,,,,,
6/2/2022 15:20,7.6,66.9,,,,,,,
6/2/2022 15:25,7.6,67.09,,,,,,,
6/2/2022 15:30,7.6,67.86,,,,,,,
6/2/2022 15:35,7.6,68.44,,,,,,,
6/2/2022 15:40,7.6,68.52,,,,,,,
6/2/2022 15:45,7.6,67.44,,,,,,,
6/2/2022 15:50,7.1,66.67,,,,,,,
6/2/2022 15:55,7.6,70.06,,,,,,,
6/2/2022 16:00,7.6,71.61,,,,,,,
6/2/2022 16:05,7.6,71.18,,,,,,,
