1h_RF,Tem
6.5,76.82
6.5,76.09
6.5,76.28
6.5,77.63
6.5,77.94
6.5,78.06
6.5,78.25
6.5,78.64
6.5,79.68
6.5,79.22
6.5,77.94
6.5,77.9
6.5,77.79
6.5,77.98
6.5,78.71
6.5,79.18
6.5,78.91
6.5,79.02
6.5,80.53
6.5,79.64
5.9,79.06
6.5,79.56
6.5,80.26
6.5,80.34
5.9,79.22
5.9,79.02
5.9,78.87
5.9,78.98
5.9,78.56
5.9,78.44
5.9,78.33
5.9,78.06
5.9,78.06
5.9,77.59
5.9,77.52
5.9,77.56
5.9,77.9
5.9,77.9
5.9,77.44
5.9,76.94
5.9,76.94
5.9,76.9
5.9,76.86
5.9,76.24
5.9,75.89
5.9,75.62
5.9,75.28
5.9,74.74
5.9,74.35
5.9,73.77
5.9,73.08
5.9,72.38
5.9,71.65
5.3,70.64
5.3,69.95
5.9,68.71
6.5,68.17
7.1,67.56
7.1,66.74
7.6,66.2
7.6,65.7
8.2,65.2
8.2,64.74
8.8,64.2
8.8,63.69
8.8,63.42
10,63
11.2,62.54
11.2,62.23
12.4,62
18.2,61.65
28.8,61.22
30,61.03
32.4,60.84
27.6,60.72
40.6,60.53
32.4,60.3
23.5,60.18
27.1,60.1
30.6,59.99
73.5,59.79
70.6,59.6
78.2,59.45
99,54
99,54
98.2,54
100,54
100,54
100,54
96.5,54
98.2,54
99,54
99,54
98.8,54
100,54
100,54
100,54
100,54
100,54
100,54
100,54
92.9,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
100,54
100,54
100,54
100,54
100,54
100,54
100,54
100,54
100,54
95.3,54
91.2,54
92.9,54
99.4,54
100,54
100,54
100,54
100,54
100,54
100,54
100,54
100,54
100,54
100,54
100,54
100,54
100,54
96.5,54
98,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
100,54
100,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,54
99,57
99,57
99,57
99,57
99,57
99,57
99,57
7.1,66.44
7.6,66.17
7.6,66.67
7.1,67.17
7.1,66.28
7.1,67.48
7.1,68.25
7.1,68.37
7.1,68.02
7.1,67.48
7.1,67.4
7.1,68.52
7.1,68.6
7.1,69.06
7.1,69.06
7.1,70.18
7.1,70.72
7.1,71.53
7.1,71.3
7.1,71.26
7.1,71.22
7.1,71.07
7.1,70.95
7.1,71.3
7.1,71.53
7.1,71.88
7.1,72.46
7.1,72.61
7.1,73.73
7.1,73.54
7.1,72.65
7.1,72.73
7.1,73.12
7.1,74.04
7.1,74.04
7.1,74.31
7.1,74.62
7.1,76.13
7.1,76.9
7.1,76.17
7.1,76.86
7.1,74.93
6.5,74.43
7.1,75.93
7.1,76.86
7.1,75.97
6.5,75.16
6.5,76.09
7.1,76.17
7.1,77.71
6.5,76.44
6.5,74.78
6.5,75.59
6.5,76.55
6.5,74.97
6.5,74.51
6.5,75.97
6.5,76.32
7.1,77.71
6.5,77.59
7.1,78.71
7.1,78.48
6.5,77.86
6.5,78.17
7.1,79.64
7.1,78.91
6.5,78.21
6.5,79.14
6.5,78.91
6.5,79.49
6.5,78.64
6.5,77.75
6.5,77.79
6.5,79.1
6.5,79.64
6.5,79.29
5.9,78.06
6.5,79.33
6.5,81.22
5.9,78.25
5.9,76.59
5.9,78.48
5.9,76.44
5.9,76.86
5.9,79.56
5.9,80.37
5.9,81.03
5.9,79.99
5.9,78.91
5.9,79.91
5.9,77.75
5.9,80.37
5.9,79.06
5.9,76.63
5.9,76.51
5.9,78.52
5.9,80.45
5.9,79.22
5.9,76.59
5.9,77.13
5.9,78.06
5.9,78.29
5.9,76.82
5.9,78.02
5.9,79.45
5.9,78.67
5.9,78.91
5.9,79.1
5.9,78.71
5.9,78.37
5.9,77.98
5.9,77.79
5.9,77.79
5.9,75.89
5.9,76.09
5.9,76.82
5.9,76.59
5.9,76.36
5.9,75.89
5.9,75.43
5.9,75.2
5.9,75.2
5.3,74.78
5.3,74.7
5.9,74.39
5.9,73.85
5.9,73.19
5.3,72.5
5.3,72.03
5.3,71.69
5.3,71.26
5.3,70.34
5.3,69.95
5.3,69.76
5.3,68.98
5.3,68.6
5.3,68.1
5.3,67.67
5.3,67.17
5.3,66.86
4.7,66.59
4.7,66.82
4.7,66.17
4.7,65.97
4.7,65.28
4.7,64.16
4.7,63.73
4.7,63.35
4.7,62.65
4.7,62
4.7,61.07
4.7,61.07
4.7,61.11
4.7,60.8
4.7,61.92
4.7,61.88
4.7,62.27
4.7,62.3
4.7,62.15
4.7,62
4.7,61.88
4.7,61.8
4.7,61.57
4.7,61.34
4.7,60.91
4.7,60.88
4.7,60.61
4.7,60.34
4.7,59.87
4.1,59.56
4.7,58.75
4.7,58.13
4.1,57.05
4.7,57.13
4.7,57.09
4.1,57.4
4.7,56.55
4.1,55.55
4.1,55.08
4.1,54.35
4.1,54.93
4.7,54.74
4.7,55.24
4.7,54.97
4.7,55.12
4.1,54.2
4.7,54.08
4.7,53.89
4.7,53
4.7,52
4.7,51.45
4.7,51.03
4.7,51.18
4.7,52.46
