"Plot Title: OrchardWatch-North"
"#","Date Time, GMT-04:00","south_wet, % (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South)","a11_wet, % (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South A11)","a11_temp, *F (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South A11)","a16_temp, *F (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South A16)","a16_wet, % (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South A16)","south_temp, °F (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South air @ 6 feet)","south_g_temp, *F (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South G)","south_g_wet, % (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South G)","south_y_temp, *F (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South Y)","south_y_wet, % (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South Y)","north_temp, °F (LGR S/N: 20777720, SEN S/N: 20777720, LBL: OrchardWatch-North air)","north_e_temp, *F (LGR S/N: 20777720, SEN S/N: 20777720, LBL: OrchardWatch-North E-air)","north_e_leaf, % (LGR S/N: 20777720, SEN S/N: 20777720, LBL: OrchardWatch-North E-leaf)","north_m_wet, % (LGR S/N: 20777720, SEN S/N: 20777720, LBL: OrchardWatch-North M-leaf)","north_m_temp, *F (LGR S/N: 20777720, SEN S/N: 20777720, LBL: OrchardWatch-North M-air)","north_wet, % (LGR S/N: 20777720, SEN S/N: 20777720, LBL: OrchardWatch-North OW-N leaf)","north_x_temp, *F (LGR S/N: 20777720, SEN S/N: 20777720, LBL: OrchardWatch-North X-air)","north_x_leaf, % (LGR S/N: 20777720, SEN S/N: 20777720, LBL: OrchardWatch-North X-leaf)"
32,04/19/22 07:00:00 AM,100.000000,100.000000,45.505833,45.147500,100.000000,45.035,44.727500,100.000000,45.321667,100.000000,44.702,44.875000,100.000000,100.000000,44.331667,100.000000,45.157500,100.000000
33,04/19/22 08:00:00 AM,100.000000,100.000000,47.732500,47.298333,100.000000,47.254,47.260000,100.000000,47.590000,100.000000,46.973,47.108333,100.000000,100.000000,46.859167,100.000000,47.465000,100.000000
34,04/19/22 09:00:00 AM,98.733333,100.000000,50.142500,49.700000,92.258333,49.464,49.500833,92.158333,50.085833,82.050000,49.276,49.325833,94.958333,90.341667,49.102500,81.958333,50.064167,100.000000
35,04/19/22 10:00:00 AM,99.558333,100.000000,47.265000,46.990833,95.691667,46.627,46.571667,95.583333,47.562500,100.000000,46.302,46.703333,98.675000,98.283333,46.261667,94.508333,47.213333,100.000000
36,04/19/22 11:00:00 AM,38.108333,37.825000,44.338333,43.977500,18.783333,43.702,43.439167,24.441667,44.485000,19.850000,43.514,43.438333,37.200000,33.875000,43.179167,38.966667,44.283333,31.958333
37,04/19/22 12:00:00 PM,4.350000,6.533333,44.705000,44.326667,3.450000,43.554,43.813333,6.433333,44.629167,6.041667,43.922,43.806667,7.308333,4.150000,43.452500,4.150000,44.604167,4.500000
38,04/19/22 01:00:00 PM,17.958333,21.083333,45.575833,45.505833,10.716667,44.709,44.764167,13.475000,46.051667,11.908333,44.705,44.669167,17.216667,3.025000,44.322500,13.400000,45.695833,9.825000
39,04/19/22 02:00:00 PM,6.591667,8.191667,44.657500,44.130833,3.800000,44.247,43.809167,6.325000,44.556667,5.583333,43.795,43.790833,7.516667,3.508333,43.416667,3.633333,44.524167,4.775000
40,04/19/22 03:00:00 PM,28.033333,22.550000,42.965833,42.510000,11.041667,42.578,42.134167,23.341667,42.819167,25.833333,42.202,42.310833,14.866667,3.800000,41.766667,13.875000,42.889167,10.916667
41,04/19/22 04:00:00 PM,3.150000,5.300000,43.756667,43.052500,2.591667,43.177,42.629167,4.800000,43.372500,4.700000,42.876,42.989167,5.900000,2.391667,42.524167,2.400000,43.954167,2.866667
42,04/19/22 05:00:00 PM,25.616667,27.950000,41.864167,41.399167,24.058333,41.386,41.040833,23.375000,41.746667,34.466667,41.038,41.212500,26.733333,4.283333,40.846667,22.066667,41.771667,21.500000
43,04/19/22 06:00:00 PM,2.483333,4.800000,43.180000,42.884167,2.350000,42.712,42.440833,4.600000,42.800000,4.250000,42.388,42.529167,5.450000,1.850000,42.130000,1.900000,42.924167,2.525000
44,04/19/22 07:00:00 PM,2.400000,4.700000,41.820833,41.402500,2.000000,41.501,41.125833,4.300000,41.145000,4.100000,41.133,41.313333,5.300000,1.800000,40.651667,1.800000,41.170000,2.400000
45,04/19/22 08:00:00 PM,2.400000,4.700000,41.272500,40.884167,1.800000,40.958,40.715833,4.100000,40.440000,4.150000,40.691,40.813333,5.300000,1.800000,40.247500,1.800000,40.343333,2.400000
46,04/19/22 09:00:00 PM,2.400000,4.700000,40.992500,40.589167,2.241667,40.695,40.459167,4.883333,40.180833,4.150000,40.434,40.511667,5.300000,1.800000,39.990833,1.800000,40.125000,2.483333
47,04/19/22 10:00:00 PM,2.400000,4.700000,41.005833,40.511667,1.800000,40.519,40.258333,4.100000,40.210000,4.100000,40.181,40.461667,5.300000,1.800000,39.800833,1.800000,40.266667,2.400000
48,04/19/22 11:00:00 PM,2.400000,4.700000,39.750833,39.362500,1.800000,39.360,39.105000,4.100000,38.943333,4.150000,39.006,39.223333,5.300000,1.800000,38.616667,1.800000,38.995833,2.400000
49,04/20/22 12:00:00 AM,2.400000,4.700000,38.778333,38.390000,1.800000,38.389,38.138333,4.100000,38.026667,4.100000,38.091,38.266667,5.300000,1.800000,37.645833,1.800000,37.889167,2.400000
50,04/20/22 01:00:00 AM,2.400000,4.700000,38.157500,37.765833,1.800000,37.751,37.518333,4.100000,37.315000,4.150000,37.455,37.608333,5.300000,1.800000,36.995000,1.800000,37.253333,2.400000
51,04/20/22 02:00:00 AM,2.400000,4.700000,38.582500,38.180000,1.900000,38.333,37.931667,4.300000,37.935000,4.100000,38.052,38.060000,5.300000,1.800000,37.555833,1.800000,37.988333,2.400000
52,04/20/22 03:00:00 AM,2.441667,4.700000,39.146667,38.730833,2.150000,38.832,38.455833,4.600000,38.671667,4.200000,38.552,38.610000,5.300000,1.800000,38.015833,1.800000,38.671667,2.483333
53,04/20/22 04:00:00 AM,2.400000,4.700000,39.850833,39.486667,1.800000,39.625,39.218333,4.200000,39.425000,4.100000,39.243,39.324167,5.300000,1.800000,38.727500,1.800000,39.389167,2.441667
54,04/20/22 05:00:00 AM,2.400000,4.700000,40.000000,39.790833,1.800000,39.840,39.427500,4.100000,39.661667,4.100000,39.419,39.578333,5.300000,1.800000,39.028333,1.800000,39.610833,2.400000
55,04/20/22 06:00:00 AM,2.441667,4.700000,40.147500,39.828333,1.800000,39.922,39.447500,4.100000,39.792500,4.100000,39.521,39.597500,5.300000,1.800000,39.030833,1.800000,39.825000,2.441667
56,04/20/22 07:00:00 AM,2.400000,4.400000,40.348333,40.063333,1.800000,40.164,39.463333,4.100000,40.255000,4.100000,39.612,39.765000,5.300000,1.400000,38.975000,1.800000,40.100000,2.400000
57,04/20/22 08:00:00 AM,2.400000,4.450000,41.887500,41.319167,1.800000,41.450,40.647500,4.100000,41.833333,4.050000,40.920,40.993333,5.300000,1.300000,40.172500,1.800000,41.601667,2.400000
58,04/20/22 09:00:00 AM,2.400000,4.300000,44.827500,43.713333,1.800000,44.042,43.050833,4.100000,44.644167,3.800000,43.574,43.449167,5.300000,1.300000,42.580833,1.800000,44.489167,2.400000
59,04/20/22 10:00:00 AM,2.300000,4.400000,46.679167,45.562500,1.750000,45.720,44.860000,4.100000,46.750000,3.800000,45.163,45.138333,5.200000,1.500000,44.746667,1.800000,46.242500,2.300000
60,04/20/22 11:00:00 AM,2.400000,4.450000,48.646667,47.252500,1.800000,47.354,46.477500,4.100000,48.882500,3.850000,46.754,46.538333,5.300000,1.650000,46.294167,1.800000,48.085000,2.400000
61,04/20/22 12:00:00 PM,2.350000,4.400000,49.401667,47.930833,1.800000,48.185,47.505833,4.100000,49.288333,3.650000,47.509,47.245000,5.300000,1.450000,46.878333,1.800000,48.877500,2.350000
62,04/20/22 01:00:00 PM,2.250000,4.100000,50.650000,49.150000,1.800000,49.417,48.538333,4.100000,50.805000,3.500000,49.153,48.480833,5.300000,1.550000,48.850833,1.800000,50.421667,2.200000
63,04/20/22 02:00:00 PM,2.300000,4.100000,51.899167,50.836667,1.750000,51.089,50.686667,4.000000,51.975000,3.500000,50.622,50.405833,5.250000,1.400000,50.451667,1.750000,51.610000,2.150000
64,04/20/22 03:00:00 PM,2.000000,4.100000,54.000833,52.365000,1.750000,52.696,52.486667,4.000000,53.537500,3.500000,52.493,52.180833,5.250000,1.200000,52.243333,1.700000,53.659167,2.000000
65,04/20/22 04:00:00 PM,1.800000,4.100000,54.340000,53.230833,1.700000,53.140,52.793333,3.500000,54.115833,3.500000,52.946,52.752500,4.800000,1.200000,52.711667,1.200000,54.301667,1.800000
66,04/20/22 05:00:00 PM,1.800000,4.100000,54.119167,52.602500,1.400000,52.707,52.524167,3.500000,53.785000,3.350000,52.560,52.430833,4.700000,1.200000,52.552500,1.250000,53.859167,1.800000
67,04/20/22 06:00:00 PM,1.800000,3.950000,52.745833,51.583333,1.200000,51.654,51.535833,3.500000,51.280833,3.200000,51.288,51.512500,4.700000,1.200000,51.268333,1.200000,51.979167,1.800000
68,04/20/22 07:00:00 PM,1.400000,3.550000,47.912500,48.019167,1.200000,48.027,47.981667,3.400000,47.217500,2.900000,47.607,48.007500,4.450000,0.800000,47.700833,0.950000,47.525833,1.600000
69,04/20/22 08:00:00 PM,1.200000,3.500000,43.559167,44.530000,1.150000,44.868,44.878333,3.350000,43.954167,2.900000,44.437,44.820000,4.150000,0.600000,44.735833,0.600000,43.651667,1.350000
70,04/20/22 09:00:00 PM,1.200000,3.500000,41.664167,42.300000,1.200000,42.045,42.884167,2.900000,41.602500,2.900000,42.252,42.152500,4.100000,0.650000,42.840000,0.600000,41.150000,1.500000
71,04/20/22 10:00:00 PM,1.350000,3.600000,40.743333,41.613333,1.200000,41.551,42.413333,3.150000,40.023333,2.900000,41.794,41.020000,4.100000,0.600000,41.263333,0.700000,39.518333,1.600000
72,04/20/22 11:00:00 PM,1.450000,3.550000,40.246667,40.615833,1.200000,40.617,42.139167,3.400000,38.727500,2.950000,40.915,40.550833,4.100000,0.600000,39.884167,0.750000,39.244167,1.750000
73,04/21/22 12:00:00 AM,1.600000,3.800000,37.986667,36.947500,1.250000,38.550,41.198333,3.150000,35.474167,3.350000,39.974,38.916667,4.350000,0.600000,39.038333,0.650000,36.855000,1.800000
74,04/21/22 01:00:00 AM,1.800000,4.450000,35.355000,34.897500,1.800000,36.173,39.675833,3.300000,33.487500,4.150000,39.593,37.309167,4.450000,0.600000,38.754167,0.850000,34.849167,2.300000
75,04/21/22 02:00:00 AM,2.050000,5.050000,33.937500,34.886667,1.750000,35.949,36.802500,3.500000,32.665000,5.341667,37.957,36.080833,4.700000,0.650000,37.167500,1.000000,33.998333,2.525000
76,04/21/22 03:00:00 AM,1.850000,5.400000,34.009167,35.301667,1.900000,37.136,35.305000,3.500000,33.725833,5.541667,36.544,37.247500,4.700000,1.100000,34.672500,1.200000,35.293333,2.575000
77,04/21/22 04:00:00 AM,3.783333,22.900000,31.693333,31.562500,13.766667,32.429,34.060000,3.900000,30.225833,70.925000,34.111,33.535833,5.650000,1.600000,33.521667,1.450000,31.290833,27.891667
78,04/21/22 05:00:00 AM,87.408333,99.608333,30.760000,31.837500,42.733333,31.272,32.715833,37.216667,31.190833,87.150000,32.357,31.356667,87.150000,50.441667,32.839167,63.191667,30.689167,100.000000
79,04/21/22 06:00:00 AM,5.700000,30.825000,31.989167,31.471667,7.441667,32.667,33.745833,5.750000,30.799167,38.041667,33.718,32.500000,9.158333,3.250000,32.730000,3.550000,31.400000,35.741667
80,04/21/22 07:00:00 AM,3.358333,5.400000,38.151667,37.248333,2.900000,38.276,37.419167,4.950000,37.708333,5.350000,38.820,38.387500,6.050000,2.591667,37.424167,2.433333,37.665000,3.500000
81,04/21/22 08:00:00 AM,2.400000,4.700000,44.774167,44.403333,1.800000,44.292,43.575000,4.150000,45.493333,4.150000,44.322,43.751667,5.300000,1.800000,43.905833,1.800000,45.384167,2.441667
82,04/21/22 09:00:00 AM,2.400000,4.700000,50.726667,49.925833,1.850000,49.699,49.613333,4.100000,50.718333,4.100000,49.546,49.163333,5.300000,1.800000,49.262500,1.800000,51.252500,2.400000
83,04/21/22 10:00:00 AM,2.400000,4.650000,55.275833,54.373333,1.800000,54.062,53.716667,4.100000,55.185833,3.950000,53.582,53.205000,5.300000,1.600000,53.379167,1.800000,55.975000,2.400000
84,04/21/22 11:00:00 AM,2.400000,4.700000,57.770000,57.028333,1.900000,56.552,56.468333,4.100000,57.715833,3.950000,56.084,55.660000,5.300000,1.650000,56.222500,1.800000,58.455833,2.400000
85,04/21/22 12:00:00 PM,2.400000,4.300000,58.799167,58.485000,1.800000,57.962,57.872500,4.100000,59.311667,3.950000,57.628,57.110833,5.300000,1.600000,57.404167,1.800000,60.377500,2.400000
86,04/21/22 01:00:00 PM,2.400000,4.300000,59.465833,58.892500,1.800000,58.348,58.177500,4.100000,59.755000,3.650000,58.002,57.754167,5.300000,1.350000,57.948333,1.800000,60.259167,2.400000
87,04/21/22 02:00:00 PM,2.350000,4.100000,58.702500,58.375833,1.800000,57.944,57.570833,4.000000,59.075000,3.550000,57.387,57.250000,5.300000,1.350000,57.455833,1.750000,59.530833,2.400000
88,04/21/22 03:00:00 PM,2.050000,4.150000,57.700000,57.094167,1.500000,56.790,56.375833,3.850000,57.674167,3.500000,56.258,56.190833,4.950000,1.250000,56.180833,1.400000,58.185000,2.100000
89,04/21/22 04:00:00 PM,1.850000,4.100000,55.388333,54.970833,1.500000,54.848,54.570833,3.500000,55.194167,3.500000,54.447,54.311667,5.000000,1.200000,54.140000,1.200000,55.591667,1.800000
90,04/21/22 05:00:00 PM,1.800000,4.491667,54.241667,53.886667,1.400000,53.810,53.359167,3.500000,54.037500,3.500000,53.402,53.359167,4.700000,1.200000,52.960833,1.200000,54.080000,2.083333
91,04/21/22 06:00:00 PM,1.800000,4.250000,52.996667,52.599167,1.300000,52.564,52.097500,4.091667,52.653333,4.241667,52.166,52.146667,5.191667,1.100000,51.672500,1.200000,52.618333,3.258333
92,04/21/22 07:00:00 PM,1.800000,4.100000,51.515833,51.181667,1.250000,51.167,50.720833,3.500000,51.245833,3.500000,50.761,50.821667,4.700000,1.200000,50.245000,1.200000,51.184167,1.800000
93,04/21/22 08:00:00 PM,1.800000,4.100000,49.850833,49.445833,1.450000,49.529,49.012500,3.600000,49.565000,3.500000,49.119,49.120000,4.750000,1.200000,48.605000,1.350000,49.457500,2.000000
94,04/21/22 09:00:00 PM,2.300000,4.150000,49.282500,48.902500,1.800000,48.950,48.497500,4.050000,49.009167,3.500000,48.576,48.597500,5.250000,1.200000,48.050833,1.750000,48.870833,2.400000
95,04/21/22 10:00:00 PM,2.400000,4.700000,48.436667,48.033333,1.800000,48.074,47.627500,4.150000,48.044167,3.950000,47.669,47.782500,5.300000,1.800000,47.145000,1.800000,47.781667,2.566667
